company_name,stand_number,ai-start,ai-data-mess,mtd-volume,mtd-clients,margin,hiring,retention,burnout,docs,chasing,defensible-files,aml,disconnected,ai-roi,advisory,advisory-charge,winning,ai-team,cyber,penalties,frs102,portal,ai-govern,ai-skills,onboarding,month-end,bankfeeds,cpd,career,leadership,cashflow,pe,exit,outsource,niche,cross-border,rd,top_tags
Advantage Business Systems,524,0.60,0.30,0.30,0.00,0.30,0.00,0.00,0.30,0.20,0.40,0.20,0.00,0.60,0.40,0.30,0.50,0.60,0.20,0.30,0.00,0.00,0.30,0.20,0.30,0.20,0.40,0.30,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,ai-start(0.60)|disconnected(0.60)|winning(0.60)
Affinity Associates Group,570,0.00,0.00,0.60,0.30,0.70,0.80,0.30,0.80,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
AIMS Accountants For Business,1565,0.00,0.00,0.00,0.00,0.00,0.60,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.60,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,leadership(0.80)|hiring(0.60)|cpd(0.60)
Alkmist,1461,0.60,0.80,0.30,0.00,0.30,0.00,0.00,0.60,0.80,0.70,0.60,0.30,0.60,0.30,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.70,0.30,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|docs(0.80)|chasing(0.70)
All In Place,1936,0.00,0.00,0.00,0.20,0.70,0.00,0.00,0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.80,0.70,0.30,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.20,0.00,0.00,advisory(0.80)|margin(0.70)|advisory-charge(0.70)
Allica Bank,150,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.20,0.00,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.40,0.60,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.60,0.00,cashflow(0.80)|aml(0.60)|bankfeeds(0.60)
Alt21,1371,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.80,0.00,cross-border(0.80)|bankfeeds(0.30)|cashflow(0.30)
Alvio Labs,1070,0.70,0.80,0.80,0.30,0.60,0.60,0.30,0.70,0.70,0.50,0.40,0.20,0.90,0.70,0.30,0.20,0.40,0.50,0.20,0.30,0.00,0.30,0.40,0.30,0.50,0.60,0.30,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,disconnected(0.90)|ai-data-mess(0.80)|mtd-volume(0.80)
AMS Group,1771,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.30,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.20,0.00,0.00,0.00,0.00,advisory(0.30)|pe(0.30)|aml(0.20)
Anderson Brookes Insolvency Practitioners,560,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,0.00,0.00,advisory(0.60)|advisory-charge(0.60)|margin(0.30)
Andica Limited,550,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.30,0.20,0.20,0.30,0.20,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.30,0.20,0.00,0.00,0.30,0.40,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|disconnected(0.60)|month-end(0.40)
ApariPro,544,0.70,0.80,0.90,0.30,0.60,0.00,0.00,0.70,0.80,0.40,0.60,0.00,0.30,0.80,0.00,0.00,0.00,0.30,0.00,0.70,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.90)|ai-data-mess(0.80)|docs(0.80)
App Advisory Plus,1971,0.40,0.20,0.30,0.00,0.20,0.00,0.00,0.20,0.30,0.30,0.30,0.30,0.60,0.40,0.20,0.00,0.40,0.20,0.20,0.20,0.20,0.40,0.20,0.30,0.30,0.30,0.30,0.50,0.20,0.00,0.20,0.00,0.00,0.20,0.20,0.20,0.00,disconnected(0.60)|cpd(0.50)|ai-start(0.40)
ApprovalMax,615,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.80,0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,chasing(0.80)|burnout(0.60)|docs(0.60)
Apron,774,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.70,0.60,0.60,0.30,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.70,0.60,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,cashflow(0.80)|burnout(0.70)|month-end(0.70)
ARNA ACCOUNTING SERVICES,815,0.00,0.30,0.30,0.00,0.60,0.80,0.00,0.80,0.30,0.00,0.60,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.60,0.60,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
Artifact AI,1080,0.70,0.80,0.30,0.00,0.60,0.50,0.60,0.80,0.80,0.30,0.70,0.00,0.70,0.80,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.40,0.30,0.20,1.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,month-end(1.00)|ai-data-mess(0.80)|burnout(0.80)
Ask the Accountant Network - Pitstop Podcast,1730,0.30,0.00,0.30,0.20,0.40,0.50,0.40,0.20,0.00,0.00,0.00,0.20,0.00,0.30,0.50,0.40,0.60,0.20,0.20,0.30,0.30,0.00,0.20,0.50,0.00,0.00,0.00,0.70,0.70,0.40,0.00,0.30,0.30,0.20,0.40,0.20,0.20,cpd(0.70)|career(0.70)|winning(0.60)
Aslan,981,0.00,0.00,0.00,0.00,0.30,0.60,0.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,retention(0.80)|hiring(0.60)|margin(0.30)
Association of Accounting Technicians,995,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,1.00,0.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(1.00)|ai-skills(0.80)|career(0.80)
Association of Chartered Certified Accountants,160,0.30,0.00,0.00,0.00,0.00,0.20,0.30,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.30,0.20,0.00,0.30,0.20,0.40,0.50,0.00,0.30,0.70,0.00,0.00,0.00,1.00,1.00,0.60,0.00,0.00,0.00,0.00,0.20,0.40,0.20,cpd(1.00)|career(1.00)|ai-skills(0.70)
Association of International Accountants (AIA),491,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.00,0.00,0.00,0.80,0.70,0.60,0.00,0.00,0.00,0.00,0.00,0.30,0.00,cpd(0.80)|career(0.70)|retention(0.60)
Astranti,790,0.80,0.30,0.00,0.00,0.60,0.30,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.70,0.30,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.30,0.80,0.00,0.00,0.00,1.00,0.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(1.00)|ai-start(0.80)|ai-team(0.80)
Audit Corpus,374,0.30,0.40,0.00,0.00,0.30,0.00,0.00,0.60,0.40,0.20,0.70,0.20,0.50,0.50,0.00,0.00,0.00,0.30,0.20,0.00,0.20,0.20,0.40,0.30,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.20,0.00,outsource(0.80)|defensible-files(0.70)|burnout(0.60)
AuditBot - Does Fieldwork Faster,1551,0.60,0.30,0.00,0.00,0.70,0.30,0.30,0.40,0.00,0.00,0.80,0.00,0.30,0.80,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.40,0.50,0.00,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,defensible-files(0.80)|ai-roi(0.80)|margin(0.70)
Auditi,625,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.60,0.80,0.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,chasing(0.80)|portal(0.70)|docs(0.60)
AYPHEN,1755,0.70,0.60,0.30,0.00,0.40,0.20,0.30,0.40,0.60,0.50,0.30,0.00,0.80,0.40,0.30,0.60,0.60,0.30,0.20,0.00,0.00,0.40,0.30,0.20,0.40,0.50,0.30,0.00,0.00,0.20,0.40,0.00,0.00,0.20,0.00,0.00,0.00,disconnected(0.80)|ai-start(0.70)|ai-data-mess(0.60)
Barclays,540,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,bankfeeds(0.60)|margin(0.30)|winning(0.30)
Befree,1574,0.30,0.00,0.60,0.00,0.60,0.80,0.00,0.80,0.00,0.30,0.00,0.00,0.30,0.30,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
BGL Solutions Limited,744,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.30,0.00,0.60,1.00,0.20,0.30,0.00,0.00,0.00,0.20,0.40,0.00,0.00,0.00,0.30,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,aml(1.00)|defensible-files(0.60)|cyber(0.40)
Briefcase,1740,0.70,0.80,0.80,0.30,0.40,0.00,0.00,0.60,0.80,0.70,0.60,0.00,0.50,0.60,0.00,0.00,0.00,0.30,0.00,0.40,0.00,0.30,0.00,0.00,0.40,0.80,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|mtd-volume(0.80)|docs(0.80)
Bright,1160,0.60,0.70,0.80,0.30,0.40,0.00,0.00,0.50,0.70,0.40,0.80,0.30,0.90,0.50,0.00,0.00,0.00,0.40,0.20,0.30,0.20,0.30,0.30,0.00,0.50,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,disconnected(0.90)|mtd-volume(0.80)|defensible-files(0.80)
Byrd + Link Audit Services,830,0.00,0.00,0.00,0.00,0.60,0.70,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|hiring(0.70)|margin(0.60)
Capify,1534,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,winning(0.60)|margin(0.30)|cashflow(0.30)
Capium,1370,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.30,0.60,0.30,0.60,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.30,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|aml(0.80)|disconnected(0.80)
Caseware,820,0.60,0.70,0.30,0.00,0.30,0.00,0.00,0.40,0.60,0.20,0.90,0.20,0.50,0.70,0.20,0.00,0.00,0.50,0.30,0.00,0.90,0.20,0.60,0.40,0.20,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.20,defensible-files(0.90)|frs102(0.90)|ai-data-mess(0.70)
Castaway Forecasting,1451,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.70,0.60,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.00,0.30,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,cashflow(0.80)|advisory(0.70)|margin(0.60)
Chaser,1020,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.40,0.00,1.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,chasing(1.00)|cashflow(1.00)|margin(0.60)
Cheku.ai,501H,0.70,0.60,0.40,0.20,0.50,0.30,0.20,0.60,0.80,0.50,0.60,0.30,0.50,0.40,0.40,0.60,0.60,0.30,0.20,0.30,0.20,0.30,0.30,0.20,0.40,0.30,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.20,docs(0.80)|ai-start(0.70)|ai-data-mess(0.60)
Chift,481,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,disconnected(0.80)|ai-data-mess(0.60)|docs(0.30)
Circit,810,0.30,0.80,0.00,0.00,0.60,0.00,0.30,0.40,0.90,0.80,0.90,0.00,0.60,0.70,0.00,0.00,0.00,0.50,0.60,0.00,0.20,0.70,0.70,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.90)|defensible-files(0.90)|ai-data-mess(0.80)
CleanBooks AI,501G,0.70,0.60,0.40,0.00,0.50,0.30,0.40,0.50,0.30,0.30,0.30,0.00,0.60,0.70,0.80,0.30,0.30,0.50,0.00,0.00,0.00,0.00,0.30,0.40,0.20,0.60,0.50,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,advisory(0.80)|ai-start(0.70)|ai-roi(0.70)
ClientWindow,1350,0.00,0.00,0.30,0.60,0.30,0.00,0.00,0.30,0.20,0.80,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,chasing(0.80)|mtd-clients(0.60)|winning(0.60)
Closeday,1404,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,onboarding(0.60)|margin(0.30)|advisory(0.30)
Cloud2me,370,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.20,0.30,0.30,0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.20,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cyber(0.80)|defensible-files(0.60)|onboarding(0.60)
Combinely,1620,0.70,0.80,0.80,0.30,0.60,0.60,0.50,0.60,0.70,0.30,0.60,0.20,0.50,0.70,0.20,0.00,0.00,0.40,0.30,0.20,0.00,0.20,0.30,0.40,0.50,0.60,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|mtd-volume(0.80)|ai-start(0.70)
Companies House,984,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.30)|aml(0.30)
Compound Pension,1030,0.00,0.00,0.00,0.00,0.60,0.70,0.80,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.60,0.60,0.50,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,retention(0.80)|hiring(0.70)|margin(0.60)
Confiance Business Solutions,1844,0.00,0.00,0.60,0.30,0.70,0.60,0.00,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.70,0.00,0.00,1.00,0.00,0.00,0.00,outsource(1.00)|burnout(0.80)|margin(0.70)
Constant Contact,1354,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.30,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,winning(0.80)|margin(0.60)|advisory(0.60)
CPA.com,360,0.00,0.00,0.30,0.00,0.60,0.00,0.30,0.30,0.00,0.30,0.00,0.00,0.30,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,margin(0.60)|advisory(0.60)|cpd(0.60)
CPDFlow,501M,0.00,0.00,0.00,0.00,0.00,0.10,0.50,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,1.00,0.70,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(1.00)|career(0.70)|ai-skills(0.60)
CPDStore,1980,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.60,0.00,0.00,0.00,1.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.30,cpd(1.00)|ai-skills(0.60)|career(0.60)
Croner,1810,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.20,0.20,0.00,0.30,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.20,0.40,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,mtd-volume(0.80)|disconnected(0.60)|penalties(0.60)
Croner VIP Tax,1821,0.00,0.00,0.60,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.60,mtd-volume(0.60)|advisory(0.60)|penalties(0.60)
Datamatics Business Solutions,1820,0.00,0.00,0.70,0.30,0.80,0.80,0.60,0.80,0.00,0.40,0.30,0.30,0.00,0.00,0.40,0.30,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.30,0.60,0.30,0.00,0.00,0.00,0.30,0.00,0.00,1.00,0.00,0.30,0.00,outsource(1.00)|margin(0.80)|hiring(0.80)
DataSnipper,974,0.60,0.80,0.30,0.00,0.60,0.30,0.60,0.70,0.90,0.30,0.70,0.20,0.60,0.80,0.00,0.00,0.00,0.40,0.20,0.00,0.00,0.00,0.70,0.20,0.20,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.90)|ai-data-mess(0.80)|ai-roi(0.80)
DataTracks,911,0.00,0.60,0.80,0.30,0.00,0.00,0.00,0.60,0.80,0.40,0.70,0.30,0.40,0.00,0.00,0.00,0.00,0.00,0.30,0.40,0.00,0.30,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.60,0.00,outsource(0.90)|mtd-volume(0.80)|docs(0.80)
Dext,1184,0.60,0.80,0.70,0.80,0.30,0.00,0.00,0.70,0.60,0.80,0.40,0.00,0.50,0.60,0.00,0.00,0.00,0.30,0.00,0.30,0.00,0.30,0.20,0.00,0.40,0.50,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ai-data-mess(0.80)|mtd-clients(0.80)|chasing(0.80)
